"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.541990918E0	7.597431540E-4	-2.386327088E-2	5.704212189E-2	6.183717794E-2
2.551990918E0	-2.323122695E-2	-2.138310671E-2	6.901264191E-2	7.589250227E-2
2.561990918E0	1.067261025E-2	5.264744163E-3	7.858562469E-2	7.948158623E-2
2.571990718E0	9.863972664E-4	-1.381242275E-2	6.182289124E-2	6.335476211E-2
2.581990718E0	-1.573991030E-2	7.708847523E-3	5.943012238E-2	6.196055642E-2
2.591990718E0	-1.537826657E-2	1.046794653E-2	4.984951019E-2	5.320754320E-2
2.601990718E0	3.853507340E-3	-6.316870451E-3	7.857990265E-2	7.892752037E-2
2.611990718E0	-2.858273685E-3	-2.287593484E-2	5.463695526E-2	5.930155987E-2
2.621990918E0	2.184167504E-3	-8.862316608E-4	6.181240082E-2	6.185732688E-2
2.631990918E0	-2.660561353E-3	6.268069148E-3	7.138919830E-2	7.171321295E-2
2.641990918E0	6.948623806E-3	4.023194313E-3	5.941677094E-2	5.995683559E-2
2.651990918E0	2.175521106E-3	1.725509763E-3	6.180858612E-2	6.187092689E-2
2.661990918E0	-2.609938383E-4	4.031494260E-3	4.505062103E-2	4.523139970E-2
2.671990718E0	-7.468871772E-3	-1.502545178E-2	6.180858612E-2	6.404568342E-2
2.681990718E0	-2.733536065E-3	-1.740290225E-2	7.617282867E-2	7.818332977E-2
2.691990718E0	-7.398732007E-3	1.677608490E-2	5.700778961E-2	5.988377356E-2
2.701990718E0	-1.224059984E-2	9.698137641E-3	6.897735596E-2	7.072313478E-2
2.711990718E0	4.428226501E-3	9.784057736E-3	6.897544861E-2	6.980651464E-2
2.721990718E0	-2.828910947E-4	7.408156991E-3	6.658172607E-2	6.699318670E-2
2.731991351E0	2.205137163E-3	-1.415662467E-2	4.742813110E-2	4.954493185E-2
2.741991351E0	-1.258030534E-4	-4.545316100E-3	6.418800354E-2	6.434885798E-2
2.751991551E0	-5.001310259E-3	9.842708707E-3	4.263877869E-2	4.404494826E-2
2.761991551E0	4.525363445E-3	-2.086758614E-3	4.263782501E-2	4.292805141E-2
2.771991551E0	1.886051148E-2	2.706050873E-4	6.897449493E-2	7.150715399E-2
2.781991351E0	-9.916350245E-3	1.228429377E-2	4.503250122E-2	4.771964000E-2
2.791991351E0	-1.714200154E-2	1.237198710E-2	4.981899261E-2	5.411881657E-2
2.801991351E0	-1.445793733E-2	-4.812136292E-3	6.898117065E-2	7.064411166E-2
2.811991351E0	-4.412882030E-3	4.675969481E-3	6.180191040E-2	6.213545162E-2
2.821991351E0	4.028454423E-4	-2.470761538E-3	8.095550537E-2	8.099420224E-2
2.831991351E0	-6.295464933E-3	6.893679500E-3	5.941486359E-2	6.014384184E-2
2.841991351E0	-3.445826471E-3	-2.931892872E-3	5.942058563E-2	5.959258102E-2
2.851991351E0	1.099598035E-2	1.140743494E-2	7.378768921E-2	7.546962458E-2
2.861991351E0	-3.278207034E-3	-5.372315645E-4	6.660366058E-2	6.668645186E-2
2.871991584E0	-1.503854617E-2	1.393318176E-3	4.985427856E-2	5.209172965E-2
2.881991584E0	-3.097545356E-3	-1.081660390E-3	7.619094849E-2	7.626155917E-2
2.891991584E0	8.888598531E-3	8.459389210E-3	9.295177460E-2	9.375820418E-2
2.901991584E0	-6.651580334E-4	6.099909544E-3	6.661510468E-2	6.689711132E-2
2.911991584E0	6.602831185E-3	1.400157809E-3	5.943107605E-2	5.981313085E-2
2.921991384E0	-3.194022924E-3	-1.343291998E-2	4.986190796E-2	5.173833189E-2
2.931991384E0	1.618422568E-3	-2.058045566E-2	5.704307556E-2	6.066371993E-2
2.941991384E0	-5.590897053E-3	8.874088526E-4	7.140922546E-2	7.163325419E-2
2.951991384E0	-2.005479857E-2	-1.491248608E-3	8.816909790E-2	9.043344842E-2
2.961991384E0	-5.341731012E-4	-1.101121306E-3	6.901073456E-2	6.902158571E-2
2.971991384E0	9.394828230E-3	6.463572383E-3	6.182289124E-2	6.286581302E-2
2.981991450E0	2.235852182E-3	1.128675044E-2	7.858181000E-2	7.941971187E-2
2.991991450E0	7.039397955E-3	-7.200092077E-4	4.985141754E-2	5.035112082E-2
3.001991450E0	-9.819407016E-3	4.171878099E-3	5.942630768E-2	6.037641398E-2
3.011991450E0	-5.063891411E-3	-1.244896650E-2	4.745197296E-2	4.931844991E-2
3.021991450E0	-3.134459257E-4	4.291340709E-3	4.984760284E-2	5.003296276E-2
3.031991250E0	4.419811070E-3	-7.707685232E-3	6.181812286E-2	6.245337025E-2
3.041991250E0	-5.194198340E-3	2.583651245E-2	5.942344666E-2	6.500500815E-2
3.051991050E0	1.398305222E-2	1.868864894E-2	4.984664917E-2	5.504071023E-2
3.061991050E0	-5.145546049E-3	4.358693957E-3	5.702781677E-2	5.742514034E-2
3.071991050E0	2.109948918E-2	-5.772799253E-3	5.943202972E-2	6.332992825E-2
3.081991050E0	6.757818162E-3	1.824790239E-2	6.661224365E-2	6.939628990E-2
3.091991250E0	-3.129173070E-3	-6.031751633E-3	7.140541077E-2	7.172800317E-2
3.101991250E0	-1.186598092E-3	3.266513348E-3	6.422519684E-2	6.431915759E-2
3.111991250E0	1.280772313E-2	-1.157803833E-2	6.662559509E-2	6.882629341E-2
3.121991450E0	9.222030640E-4	7.620275021E-3	5.704879761E-2	5.756287309E-2
3.131991450E0	1.000462100E-2	5.147472024E-3	7.141304016E-2	7.229392239E-2
3.141991450E0	-1.198317111E-2	-2.130255103E-3	6.183528900E-2	6.302172120E-2
3.151991450E0	-1.202972978E-2	7.401078939E-3	5.465412140E-2	5.644965327E-2
3.161991450E0	7.033973932E-3	5.049020052E-3	4.986476898E-2	5.061091363E-2
3.171991216E0	2.259317786E-3	-1.414059103E-2	5.225849152E-2	5.418496809E-2
3.181991216E0	-2.566654235E-3	-9.370982647E-3	3.549957275E-2	3.680519930E-2
3.191991216E0	7.087823004E-3	-2.170041203E-3	5.225944519E-2	5.278253428E-2
3.201991249E0	1.168301702E-2	-1.717343926E-3	5.943393707E-2	6.059566843E-2
3.211991249E0	-6.620213389E-4	2.978758514E-2	6.421279907E-2	7.078857299E-2
3.221991249E0	-3.089871258E-3	1.301042736E-2	4.506015778E-2	4.700251422E-2
3.231991449E0	-3.198195249E-3	6.520450115E-4	4.985427856E-2	4.996101187E-2
3.241991449E0	-1.035442203E-2	5.475968122E-3	5.943012238E-2	6.057342427E-2
3.251991449E0	-1.990543306E-2	-4.065349698E-3	6.421852112E-2	6.735556241E-2
3.261991449E0	-1.043222100E-2	5.545660853E-3	6.182193756E-2	6.294074637E-2
3.271991449E0	1.559365541E-3	7.905617356E-3	4.506397247E-2	4.577872892E-2
3.281991382E0	3.917921335E-3	1.032565534E-2	4.745769501E-2	4.872578456E-2
3.291991382E0	1.823864505E-2	5.580455065E-3	5.942821503E-2	6.241395992E-2
3.301991382E0	1.341143250E-2	-6.365731359E-3	7.139778137E-2	7.292483968E-2
3.311990948E0	7.993482053E-3	7.497608662E-3	6.900978088E-2	6.987460017E-2
3.321990948E0	-1.159602031E-2	-7.225424051E-3	6.901359558E-2	7.035304410E-2
3.331990948E0	-1.394962147E-2	4.503130913E-5	7.619476318E-2	7.746118966E-2
3.341990948E0	-3.315430507E-2	4.806667566E-3	4.985904694E-2	6.006859878E-2
3.351990948E0	-3.237813339E-2	4.678264260E-3	4.986572266E-2	5.963908093E-2
3.361990948E0	1.650884748E-3	2.283200622E-3	4.747295380E-2	4.755649028E-2
3.371991148E0	-1.466841996E-2	-1.451350749E-2	7.141780853E-2	7.433914056E-2
3.381991148E0	1.692574471E-2	-9.481415153E-3	5.465793610E-2	5.799886245E-2
3.391990948E0	-6.938602775E-3	-4.674673080E-3	7.620525360E-2	7.666314273E-2
3.401990948E0	7.449869066E-3	-2.245619893E-3	4.268550873E-2	4.338889274E-2
3.411990948E0	1.447081938E-2	-4.546478391E-3	5.704879761E-2	5.903084268E-2
3.421990948E0	7.586181164E-5	-2.188980579E-3	4.747200012E-2	4.752250190E-2
3.431990948E0	-2.367142588E-3	-4.541158676E-3	6.183624268E-2	6.204793626E-2
3.441990948E0	-1.191280037E-2	-9.356513619E-3	3.071308136E-2	3.424547454E-2
3.451990948E0	-9.497385472E-3	-2.124947309E-2	4.268169403E-2	4.861550620E-2
3.461990948E0	-2.152275294E-3	-1.436561346E-3	5.464267731E-2	5.470391376E-2
3.471990948E0	7.608346641E-3	1.494929194E-3	5.702781677E-2	5.755252938E-2
3.481991148E0	-6.699360907E-3	9.458824992E-3	6.180286407E-2	6.288040088E-2
3.491991148E0	7.691834122E-3	2.146524191E-2	7.137870789E-2	7.493224180E-2
3.501991114E0	2.196232788E-2	-4.898220301E-3	6.898498535E-2	7.256214311E-2
3.511991114E0	6.975594908E-3	-4.933342338E-3	6.898212433E-2	6.950920995E-2
3.521991114E0	-2.574499696E-3	-1.921880245E-2	6.658649445E-2	6.935237313E-2
3.531990480E0	1.420123503E-2	9.608298540E-3	5.700874329E-2	5.953143109E-2
3.541990480E0	8.976683021E-3	1.459121704E-2	4.503250122E-2	4.818101928E-2
3.551990480E0	-1.062161475E-2	2.890412509E-2	6.178951263E-2	6.903775068E-2
3.561990480E0	5.866654217E-3	9.280279279E-3	6.658458710E-2	6.748369028E-2
3.571990480E0	-1.832640916E-2	1.356388628E-2	5.222797394E-2	5.698769644E-2
3.581990480E0	-1.603352278E-2	6.352290511E-3	5.701541901E-2	5.956663036E-2
3.591990480E0	-3.500510007E-3	-1.598618925E-2	6.900405884E-2	7.091806507E-2
3.601990480E0	-5.926150829E-3	-1.481860876E-3	5.942440033E-2	5.973754707E-2
3.611990913E0	-1.071226969E-2	2.248471975E-2	6.660652161E-2	7.111078726E-2
3.621991113E0	-8.041374385E-4	6.241053343E-4	5.943107605E-2	5.943979261E-2
3.631991113E0	-7.664673030E-3	3.287643194E-4	7.859230042E-2	7.896584694E-2
3.641991313E0	-1.583360136E-4	2.560079098E-3	3.550148010E-2	3.559401867E-2
3.651991313E0	-1.450875774E-2	-9.314671159E-3	5.704689026E-2	5.959542632E-2
3.661991313E0	-6.835516542E-3	-1.894618571E-2	6.183815002E-2	6.503567512E-2
3.671991113E0	-1.404679194E-2	5.091592669E-3	7.380867004E-2	7.530575312E-2
3.681991113E0	5.721099675E-3	7.738739252E-3	5.465316772E-2	5.549403399E-2
3.691991113E0	1.297753304E-2	1.010620594E-2	5.704784393E-2	5.937178000E-2
3.701991113E0	1.035548747E-3	-1.716494560E-3	4.507541656E-2	4.511997222E-2
3.711991113E0	-8.580222726E-3	-6.480067968E-3	5.465126038E-2	5.569893862E-2
3.721990913E0	-3.823209554E-3	-1.356768608E-2	7.140827179E-2	7.278626462E-2
3.731991113E0	2.007661015E-2	-2.059437335E-2	7.140445709E-2	7.697918538E-2
3.741991113E0	1.036589220E-2	-3.241240978E-3	6.421184540E-2	6.512387008E-2
3.751991113E0	7.990900427E-3	-1.278446615E-2	7.378768921E-2	7.531215136E-2
3.761991113E0	2.819783986E-3	-1.272261143E-4	5.461978912E-2	5.469267531E-2
3.771991113E0	5.165793002E-3	-4.118680954E-5	7.137775421E-2	7.156445284E-2
3.781990913E0	-1.882474497E-2	2.873143554E-2	6.658840179E-2	7.492584110E-2
3.791990913E0	-6.943251938E-3	1.445244253E-2	5.461597443E-2	5.692087934E-2
3.801990913E0	-1.161275804E-2	9.218052030E-3	6.898880005E-2	7.056403592E-2
3.811990913E0	1.265544072E-2	-7.851570845E-4	5.942249298E-2	6.076026106E-2
3.821990913E0	-1.366025582E-2	1.365786791E-2	8.336257935E-2	8.557137126E-2
3.831991346E0	-1.669079065E-3	1.608584821E-2	5.463123322E-2	5.697466086E-2
3.841991346E0	1.521503180E-2	-1.093924046E-3	5.703353882E-2	5.903827922E-2
3.851991346E0	-1.589994878E-3	2.767942846E-2	7.618618011E-2	8.107411969E-2
3.861991346E0	3.050312400E-3	7.786825299E-3	3.789138794E-2	3.880330313E-2
3.871991546E0	5.470551550E-4	-9.404078126E-3	6.662845612E-2	6.729106270E-2
3.881991546E0	2.850759774E-3	-2.054870129E-4	7.381820679E-2	7.387351832E-2
3.891991546E0	-4.368249327E-3	-5.012348294E-3	6.424140930E-2	6.458454851E-2
3.901991546E0	-1.886391267E-2	-1.263670623E-2	5.706501007E-2	6.141619428E-2
3.911991546E0	-1.603918150E-2	4.434555769E-3	5.227375031E-2	5.485859640E-2
3.921991346E0	1.154806465E-3	2.045288682E-3	5.467033386E-2	5.472076560E-2
3.931991346E0	3.573257476E-3	1.879557967E-2	7.142925262E-2	7.394714406E-2
3.941991146E0	8.326224983E-3	-3.322213888E-4	6.903553009E-2	6.953661488E-2
3.951991146E0	5.991701037E-3	1.562982798E-3	4.989147186E-2	5.027427136E-2
3.961991146E0	-1.081136242E-2	1.362152398E-2	6.425476074E-2	6.656655129E-2
3.971991346E0	3.572650254E-3	6.404340267E-3	8.340930939E-2	8.373107127E-2
3.981991546E0	2.274405397E-2	1.607827842E-2	6.425285339E-2	7.003022346E-2
3.991991546E0	6.013222039E-3	-1.261591911E-2	4.031085968E-2	4.266480590E-2
4.001991546E0	-3.606837243E-3	1.141376793E-2	4.988574982E-2	5.130176808E-2
4.011991546E0	8.392538875E-3	1.873046160E-3	7.861614227E-2	7.908502283E-2
4.021991546E0	-1.363079995E-2	1.516327262E-3	5.707073212E-2	5.869554003E-2
4.031991546E0	3.176073730E-2	-5.694612861E-3	6.425476074E-2	7.190165038E-2
4.041991546E0	7.203850895E-3	8.529871702E-3	5.707073212E-2	5.815258071E-2
4.051991546E0	2.093916200E-2	-2.527017891E-2	6.904411316E-2	7.644684434E-2
4.061991546E0	3.622878343E-3	1.330092549E-3	5.227661133E-2	5.241887528E-2
4.071991546E0	-1.121420041E-2	6.383195519E-3	5.226898193E-2	5.383818299E-2
4.081991546E0	-4.429269582E-3	-1.025055349E-2	7.141876221E-2	7.228645704E-2
4.091991746E0	2.662457526E-3	-2.981960773E-3	3.550434113E-2	3.572868608E-2
4.101991746E0	-1.191077381E-2	-2.625599504E-3	6.183338165E-2	6.302481569E-2
4.111991746E0	-7.042910904E-3	-2.402248979E-2	6.661891937E-2	7.116714852E-2
4.121991946E0	-4.479601979E-3	-8.996576071E-3	5.942630768E-2	6.027015231E-2
4.131991946E0	3.744512796E-4	-1.091551781E-2	8.096504211E-2	8.169838914E-2
4.141991946E0	2.838287503E-3	-6.625205278E-4	6.180000305E-2	6.186869311E-2
4.151991946E0	1.015187427E-2	-4.897028208E-3	4.742527008E-2	4.874625810E-2
4.161991946E0	-1.792691648E-3	-7.294118404E-5	5.700206757E-2	5.703029695E-2
4.171991746E0	-1.810282469E-3	4.702508450E-4	5.699253082E-2	5.702321306E-2
4.181991746E0	5.909129977E-4	-8.948475122E-3	4.023075104E-2	4.121817214E-2
4.191991746E0	-4.227053374E-3	-4.064485431E-3	1.000833511E-1	1.002550009E-1
4.201991746E0	3.987476230E-4	6.852149963E-4	1.048717499E-1	1.048747464E-1
4.211991746E0	-1.628147438E-2	1.748746634E-2	4.741001129E-2	5.309055526E-2
4.221991746E0	-1.865779608E-2	7.987841964E-3	5.459213257E-2	5.824276704E-2
4.231991946E0	-8.323885500E-3	-1.615554094E-3	6.896209717E-2	6.948142148E-2
4.241991946E0	-1.026127860E-2	-1.119722426E-2	7.854080200E-2	7.999580769E-2
4.251991946E0	1.185474917E-2	9.810477495E-4	6.178092957E-2	6.291566411E-2
4.261991946E0	-1.408983395E-2	3.579571843E-3	7.135581970E-2	7.282162976E-2
4.271991746E0	-8.860696107E-3	6.116390228E-3	5.698966980E-2	5.799779848E-2
4.281991546E0	-6.517488509E-3	2.291704714E-2	5.220031738E-2	5.738067481E-2
4.291991546E0	1.317099482E-2	3.400728106E-3	6.418132782E-2	6.560703390E-2
4.301991546E0	-1.224491745E-3	-1.565751433E-2	4.263114929E-2	4.543205944E-2
4.311991546E0	1.062050462E-3	-1.788662374E-2	5.220508575E-2	5.519447652E-2
4.321991546E0	5.804289132E-3	1.571899652E-2	6.656837463E-2	6.864492061E-2
4.331991346E0	-1.405522227E-3	2.299785614E-2	6.177806854E-2	6.593486659E-2
4.341991346E0	-6.229557097E-3	1.475706697E-3	5.938339233E-2	5.972748427E-2
4.351991346E0	-1.106313989E-2	1.562878489E-3	6.895828247E-2	6.985757206E-2
4.361991346E0	9.936019778E-4	-7.428526878E-4	7.135105133E-2	7.136183575E-2
4.371991546E0	5.737226456E-3	8.877307177E-3	6.895637512E-2	6.976176618E-2
4.381991546E0	3.429163247E-3	1.783251762E-3	6.895542145E-2	6.906366117E-2
4.391991346E0	1.114238054E-3	1.802101731E-3	4.980182648E-2	4.984687570E-2
4.401991346E0	1.070902497E-2	1.387022436E-2	6.416511536E-2	6.651487329E-2
4.411991346E0	-1.304876059E-3	-2.801373601E-3	7.613372803E-2	7.619642340E-2
4.421991146E0	-1.347392797E-3	-5.151778460E-3	6.176853180E-2	6.199764358E-2
4.431991146E0	-3.710150719E-3	1.936003566E-3	7.134723663E-2	7.146986430E-2
4.441991146E0	-6.028320640E-3	1.155072451E-2	7.134628296E-2	7.252621580E-2
4.451991346E0	5.962397903E-3	6.727874279E-3	6.655883789E-2	6.716318473E-2
4.461991346E0	-1.200847328E-3	4.299297929E-3	6.416511536E-2	6.432019920E-2
4.471991346E0	1.557659730E-2	2.816252410E-2	6.177234650E-2	6.965329094E-2
4.481991546E0	8.196055889E-3	6.093561649E-3	6.656932831E-2	6.734821673E-2
4.491991546E0	7.628493011E-3	-6.612494588E-3	4.981994629E-2	5.083252933E-2
4.501991546E0	2.521902323E-3	1.625418663E-4	6.419086456E-2	6.424059079E-2
4.511991546E0	2.548351884E-3	2.592399716E-3	6.179523468E-2	6.190206509E-2
4.521991546E0	9.229946882E-3	-1.699717343E-2	5.940723419E-2	6.247651798E-2
4.531991346E0	-7.633406669E-3	4.584908485E-3	6.898212433E-2	6.955446614E-2
4.541991346E0	1.154779643E-2	2.377451956E-2	5.222225189E-2	5.852984688E-2
4.551991346E0	-3.330357373E-3	-9.987726808E-3	5.461883545E-2	5.562430362E-2
4.561991346E0	-9.792372584E-4	-1.468849182E-2	6.658744812E-2	6.819530002E-2
4.571991346E0	-3.345832229E-3	-2.872943878E-4	5.700969696E-2	5.710851669E-2
4.581991346E0	-9.247958660E-4	9.325295687E-3	6.419277191E-2	6.487317129E-2
4.591991346E0	-9.054541588E-4	-2.860724926E-4	7.376956940E-2	7.377568064E-2
4.601991346E0	1.103090122E-2	9.316787124E-3	7.616329193E-2	7.751987063E-2
4.611991346E0	6.191987544E-3	1.647292078E-2	4.982757568E-2	5.284396964E-2
4.621991546E0	-1.343186945E-3	1.638278365E-3	6.180477142E-2	6.184106951E-2
4.631991212E0	-1.131642237E-2	8.438885212E-3	5.941581726E-2	6.106975962E-2
4.644717421E0	-6.517242640E-3	-1.312580705E-2	6.899261475E-2	7.053185204E-2
4.654717421E0	-8.874621242E-3	-5.968585610E-3	4.265594482E-2	4.397627253E-2
4.664717421E0	-1.734502614E-3	2.032341063E-2	5.702304840E-2	6.056135375E-2
4.674717221E0	-1.375759766E-2	1.564005017E-2	4.265499115E-2	4.746926303E-2
4.684717221E0	5.707290024E-3	1.059289277E-2	7.857513428E-2	7.949109550E-2
4.694717221E0	3.531221300E-3	-1.839652658E-3	4.267120361E-2	4.285656850E-2
4.704717221E0	1.094096154E-2	-1.668381691E-2	4.268074036E-2	4.711369210E-2
4.714717221E0	8.626244962E-3	9.439885616E-5	3.310394287E-2	3.420953152E-2
4.724717221E0	2.253434062E-2	2.180302143E-2	5.464744568E-2	6.300405995E-2
4.734717421E0	7.733762264E-3	1.621097326E-4	5.943393707E-2	5.993521698E-2
4.744717421E0	-1.677456871E-2	1.669475436E-2	6.422424316E-2	6.844599615E-2
4.754717221E0	-9.582169354E-3	-7.220357656E-3	6.901264191E-2	7.004781422E-2
4.764717221E0	-2.381540835E-3	1.203048229E-2	6.901073456E-2	7.009198046E-2
4.774717221E0	-1.670281962E-2	-1.241917908E-2	6.902027130E-2	7.209034639E-2
4.784717021E0	-1.673588157E-2	-1.243667305E-2	4.986667633E-2	5.405040219E-2
4.794717021E0	9.434707463E-3	-1.241235435E-2	7.141208649E-2	7.309422920E-2
4.804717021E0	-1.883532479E-2	2.389326692E-3	7.140636444E-2	7.388739557E-2
4.814717021E0	7.895134389E-3	9.753197432E-3	6.182956696E-2	6.309004166E-2
4.824717021E0	1.029853523E-2	-6.979554892E-3	5.464553833E-2	5.604381209E-2
4.834717021E0	-1.716740429E-3	-6.892248988E-3	4.985618591E-2	5.035960254E-2
4.844717021E0	5.493484437E-3	-4.462063313E-3	6.422138214E-2	6.461017183E-2
4.854717021E0	-8.946616203E-3	1.034975052E-2	8.336544037E-2	8.448050618E-2
4.864717021E0	-8.989714086E-3	1.043736935E-2	5.223941803E-2	5.402509078E-2
4.874717221E0	-3.001676500E-2	-4.034265876E-3	6.660842896E-2	7.317078850E-2
4.884717221E0	-1.270392165E-2	-6.385385990E-3	4.745674133E-2	4.954094344E-2
4.894717221E0	-2.653017640E-3	-8.711457253E-3	5.464172363E-2	5.539536038E-2
4.904717221E0	-2.379816771E-2	8.211761713E-3	9.055328369E-2	9.398767474E-2
4.914717221E0	-8.459046483E-3	5.901485682E-3	9.534549713E-2	9.590175610E-2
4.924717021E0	1.604575664E-2	1.550388336E-2	5.704116821E-2	6.124974756E-2
4.934717354E0	1.513127238E-3	-8.282050490E-3	7.379627228E-2	7.427497369E-2
4.944717354E0	1.619505137E-2	3.764003515E-3	6.182575226E-2	6.402242618E-2
4.954717354E0	8.958958089E-3	-5.664110184E-3	6.182289124E-2	6.272491495E-2
4.964717354E0	4.074018449E-3	6.411314011E-3	5.224323273E-2	5.279259360E-2
4.974717354E0	1.076702774E-2	-5.592405796E-3	6.900215149E-2	7.006069368E-2
4.984717554E0	-6.070334464E-3	-1.993210614E-2	2.590465546E-2	3.324438283E-2
4.994717754E0	-3.719415516E-3	-6.908178329E-4	9.294128418E-2	9.301824330E-2
5.004717754E0	-2.052193880E-2	1.132373512E-2	7.857418060E-2	8.199560236E-2
5.014717754E0	-1.110295206E-2	9.024307132E-3	7.617759705E-2	7.750961202E-2
5.024717754E0	-2.065336704E-2	-5.261257291E-3	6.899452209E-2	7.221140130E-2
5.034717554E0	6.164778024E-3	-9.911015630E-3	2.829265594E-2	3.060567103E-2
5.044717554E0	1.852755249E-2	2.372682095E-3	6.180763245E-2	6.456843850E-2
5.054717554E0	-1.748943329E-2	4.801109433E-3	5.941295624E-2	6.211948404E-2
5.064717554E0	-3.104861826E-3	1.194913685E-2	7.617187500E-2	7.716590296E-2
5.074717554E0	-7.859043777E-3	4.916638136E-3	4.504585266E-2	4.598985477E-2
